model,metrics_file,threshold_mm,accuracy,precision_rain,recall_rain,f1_rain,precision_no_rain,recall_no_rain,f1_no_rain,macro_f1,weighted_f1,false_alarm_rate,miss_rate,tn,fp,fn,tp
OSEL - Optimized Stacking Ensemble Learning,osel_metrics.json,1.0,0.8862206975414523,0.5499181669394435,0.7320261437908496,0.6280373831775701,0.9573952199515068,0.9095097071405067,0.932838339520756,0.780437861349163,0.8928430167758954,0.09049029285949325,0.2679738562091503,2764,275,123,336
Extra Trees Regressor,extra_trees_metrics.json,1.0,0.8873642081189251,0.5542570951585977,0.7233115468409586,0.6275992438563327,0.9561917902725078,0.912142152023692,0.9336476928258673,0.7806234683411,0.893488676794702,0.087857847976308,0.2766884531590414,2772,267,127,332
Random Forest Regressor,random_forest_metrics.json,1.0,0.885934819897084,0.5506756756756757,0.710239651416122,0.6203615604186489,0.9542326221610461,0.9124712076340902,0.9328847771236333,0.7766231687711411,0.8918761560637167,0.08752879236590984,0.289760348583878,2773,266,133,326
XGBoost Regressor,xgboost_metrics.json,1.0,0.8827901658090337,0.5402298850574713,0.7167755991285403,0.6161048689138576,0.9550017307026653,0.907864429088516,0.9308367071524967,0.7734707880331771,0.8895382755482841,0.09213557091148404,0.28322440087145967,2759,280,130,329
Gradient Boosting Regressor,gradient_boosting_metrics.json,1.0,0.8785020011435106,0.5275974025974026,0.7080610021786492,0.6046511627906976,0.9535045107564192,0.9042448173741362,0.9282215841918595,0.7664363734912786,0.885763372807316,0.09575518262586377,0.29193899782135074,2748,291,134,325
LightGBM Regressor,lightgbm_metrics.json,1.0,0.8733562035448827,0.5123076923076924,0.7254901960784313,0.6005410279531109,0.9557584269662921,0.8956893715037841,0.9247494479361305,0.7626452379446207,0.8822075197565403,0.10431062849621586,0.27450980392156865,2722,317,126,333
AdaBoost Regressor,adaboost_metrics.json,1.0,0.8699256718124643,0.5030581039755352,0.7167755991285403,0.5911949685534591,0.9542897327707455,0.8930569266205989,0.9226585075641679,0.7569267380588135,0.8791645783457815,0.10694307337940112,0.28322440087145967,2714,325,130,329
KNN Regressor,knn_metrics.json,1.0,0.8550600343053173,0.46511627906976744,0.6971677559912854,0.5579773321708805,0.9505338078291815,0.8789075353734781,0.9133185159856386,0.7356479240782596,0.8666914138212665,0.12109246462652189,0.3028322440087146,2671,368,139,320
Ridge Regression,ridge_metrics.json,1.0,0.7727272727272727,0.34269662921348315,0.7973856209150327,0.4793713163064833,0.9617283950617284,0.7690029615004936,0.8546352166758091,0.6670032664911462,0.8053938987028186,0.23099703849950642,0.20261437908496732,2337,702,93,366
